Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
224.0.0.252-10.5.227.235-5355-49767-17,10.5.227.235,49767,224.0.0.252,5355,17,13/09/2023 08:41:42 AM,409180,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,107.53213744562295,4.887824429346498,409180.0,0.0,409180.0,409180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.443912214673249,2.443912214673249,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
239.255.255.250-10.5.181.191-1900-50276-17,10.5.181.191,50276,239.255.255.250,1900,17,13/09/2023 08:41:58 AM,1022086,1,1,170.0,170.0,170.0,170.0,170.0,0.0,170.0,170.0,170.0,0.0,332.6530252835867,1.956782501668157,1022086.0,0.0,1022086.0,1022086.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.9783912508340785,0.9783912508340785,170.0,170.0,170.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,255.0,170.0,170.0,0,0,0,0,0,0,1,170,1,170,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
10.3.180.149-10.5.254.223-0-0-0,10.5.254.223,0,10.3.180.149,0,0,13/09/2023 08:42:09 AM,1002560,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9948930737312482,1002560.0,0.0,1002560.0,1002560.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9974465368656241,0.9974465368656241,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
239.255.255.250-10.5.110.48-1900-50285-17,10.5.110.48,50285,239.255.255.250,1900,17,13/09/2023 08:42:06 AM,6103210,2,1,266.0,133.0,133.0,133.0,133.0,0.0,133.0,133.0,133.0,0.0,65.37543358331108,0.491544613408354,3051605.0,132514.63922148375,3145307.0,2957903.0,2957903.0,2957903.0,0.0,2957903.0,2957903.0,0,0,0,0,0,0,0,0,0,16,8,0.3276964089389027,0.16384820446945134,133.0,133.0,133.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,177.33333333333334,133.0,133.0,0,0,0,0,0,0,2,266,1,133,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
255.255.255.255-10.5.143.32-22222-56536-17,10.5.143.32,56536,255.255.255.255,22222,17,13/09/2023 08:41:37 AM,9114327,3,1,84.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,28.0,0.0,12.288345590409474,0.4388694853717669,3038109.0,103072.84854897531,3157047.0,2974855.0,6131902.0,3065951.0,128829.19867793946,3157047.0,2974855.0,0,0,0,0,0,0,0,0,0,24,8,0.3291521140288252,0.10971737134294172,28.0,28.0,28.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,35.0,28.0,28.0,0,0,0,0,0,0,3,84,1,28,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
239.255.255.250-10.5.145.24-1900-65506-17,10.5.145.24,65506,239.255.255.250,1900,17,13/09/2023 08:42:06 AM,3049909,2,1,350.0,175.0,175.0,175.0,175.0,0.0,175.0,175.0,175.0,0.0,172.13628341042306,0.9836359052024175,1524954.5,982287.9916870103,2219537.0,830372.0,830372.0,830372.0,0.0,830372.0,830372.0,0,0,0,0,0,0,0,0,0,16,8,0.655757270134945,0.3278786350674725,175.0,175.0,175.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,233.33333333333334,175.0,175.0,0,0,0,0,0,0,2,350,1,175,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
239.255.255.250-10.5.180.103-1900-56287-17,10.5.180.103,56287,239.255.255.250,1900,17,13/09/2023 08:41:28 AM,3056117,3,1,525.0,175.0,175.0,175.0,175.0,0.0,175.0,175.0,175.0,0.0,229.0488224109221,1.3088504137766976,1018705.6666666666,23863.559171534605,1044733.0,997856.0,2042589.0,1021294.5,33147.04458168179,1044733.0,997856.0,0,0,0,0,0,0,0,0,0,24,8,0.9816378103325233,0.3272126034441744,175.0,175.0,175.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,218.75,175.0,175.0,0,0,0,0,0,0,3,525,1,175,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
239.255.255.250-10.5.202.179-1900-59726-17,10.5.202.179,59726,239.255.255.250,1900,17,13/09/2023 08:41:32 AM,1951102,2,1,350.0,175.0,175.0,175.0,175.0,0.0,175.0,175.0,175.0,0.0,269.0787052650246,1.5375926015144263,975551.0,93244.75702150766,1041485.0,909617.0,909617.0,909617.0,0.0,909617.0,909617.0,0,0,0,0,0,0,0,0,0,16,8,1.025061734342951,0.5125308671714754,175.0,175.0,175.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,233.33333333333334,175.0,175.0,0,0,0,0,0,0,2,350,1,175,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
239.255.255.250-10.5.246.160-1900-57065-17,10.5.246.160,57065,239.255.255.250,1900,17,13/09/2023 08:41:52 AM,3088318,2,1,350.0,175.0,175.0,175.0,175.0,0.0,175.0,175.0,175.0,0.0,169.99544736001926,0.9714025563429672,1544159.0,446092.45504715724,1859594.0,1228724.0,1228724.0,1228724.0,0.0,1228724.0,1228724.0,0,0,0,0,0,0,0,0,0,16,8,0.6476017042286448,0.3238008521143224,175.0,175.0,175.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,233.33333333333334,175.0,175.0,0,0,0,0,0,0,2,350,1,175,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
239.255.255.250-10.5.101.1-1900-59283-17,10.5.101.1,59283,239.255.255.250,1900,17,13/09/2023 08:41:34 AM,3061906,3,1,525.0,175.0,175.0,175.0,175.0,0.0,175.0,175.0,175.0,0.0,228.61577069968837,1.3063758325696477,1020635.3333333334,7557.836286486585,1027558.0,1012572.0,2049334.0,1024667.0,4088.491408820618,1027558.0,1021776.0,0,0,0,0,0,0,0,0,0,24,8,0.9797818744272359,0.32659395814241193,175.0,175.0,175.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,218.75,175.0,175.0,0,0,0,0,0,0,3,525,1,175,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
